global		d_to_r	(angle: number)	number	Converts a supplied angle in degrees to radians.
global		find_child_uicomponent	(parent_ui_component: UIC, name: string)	UIC	Takes a uicomponent and a string name. Searches the direct children (and no further - not grandchildren etc) of the supplied uicomponent for another uicomponent with the supplied name.
global		find_child_uicomponent_by_index	(parent_ui_component: UIC, index: number)	UIC	Takes a uicomponent and an index. Searches the direct children (and no further - not grandchildren etc) of the supplied uicomponent. If a uicomponent with the correct index is found then it is returned, otherwise false is returned.
global		find_uicomponent	(parent_ui_component, ...)	UIC	
global		find_uicomponent_from_table	(parent_ui_component: UIC, table_of_string_names: table, assert_on_failure: boolean?)	UIC	Takes a start uicomponent and a numerically-indexed table of string uicomponent names. Starting from the supplied start uicomponent, the function searches through all descendants for a uicomponent with the next supplied uicomponent name in the table.
global		force_require	(filename: string)		Forceably unloads and requires a file by name.
global		get_advisor_progress_button	()	UIC	Returns the advisor progress/close button uicomponent.
global		get_custom_type	(object: table)	any	Returns the custom type value of the supplied value. If it has no custom type then nil is returned.
global		get_file_and_folder_path_as_table	(stack_offset: integer?)	table	Returns the file and path of the calling script as a table of strings.
global		get_file_name_and_path	(stack_offset: integer?)	string, string	Returns the filename and the filepath of the calling file as separate return parameters.
global		get_folder_name_and_shortform	(stack_offset: integer?)	string, string	Returns the folder name of the calling file and the shortform of its filename as separate return parameters. The shortform of the filename is the portion of the filename before the first "_", if one is found.
global		get_full_file_path	(stack_offset: integer?)	string	Gets the full filepath and name of the calling file.
global		get_messager	()	script_messager	Gets or creates a script_messager object.
global		highlight_advisor_progress_button	(show_button: boolean?)		Activates or deactivates a highlight on the advisor progress/close button.
global		highlight_all_visible_children	(parent: UIC, visual_padding: number?)		Draws a box highlight around all visible children of the supplied uicomponent. A padding value in pixels may also be supplied to increase the visual space between the highlight and the components being highlighted.
global		highlight_component	(activate_highlight: boolean, is_square: boolean, ...: any)		Highlights or unhighlights a uicomponent by its path. The path should be one or more strings which when sequentially searched for from the ui root lead to the target uicomponent (see documentation for find_uicomponent_from_table, which performs the search).
global		highlight_component_table	(visual_padding: number, ...: any)		Draws a box highlight stretching around the supplied list of components. A padding value in pixels may also be supplied to increase the visual space between the highlight and the components being highlighted.
global		highlight_visible_component	(activate_highlight: boolean, is_square: boolean, ...: any)		Highlights or unhighlights a uicomponent by its path, but only if it's visible. The path should be one or more strings which when sequentially searched for from the ui root lead to the target uicomponent (see documentation for find_uicomponent_from_table, whic...
global		is_activepointer	(value: any)	boolean	Returns true if the supplied value is an active pointer, false otherwise.
global		is_advicemanager	(value: any)	boolean	Returns true if the supplied value is an advice manager, false otherwise.
global		is_advicemonitor	(value: any)	boolean	Returns true if the supplied value is an advice monitor, false otherwise.
global		is_alliance	(value: any)	boolean	Returns true if the supplied value is an alliance, false otherwise.
global		is_alliances	(value: any)	boolean	Returns true if the supplied value is an alliances object, false otherwise.
global		is_armies	(value: any)	boolean	Returns true if the supplied value is an armies object, false otherwise.
global		is_army	(value: any)	boolean	Returns true if the supplied value is an army object, false otherwise.
global		is_attacklanemanager	(value: any)	boolean	Returns true if the supplied value is an attack lane manager, false otherwise.
global		is_battle	(value: any)	boolean	Returns true if the supplied value is an empire battle object, false otherwise.
global		is_battlemanager	(value: any)	boolean	Returns true if the supplied value is a <a href="../battle/battle_manager.html#class:battle_manager">battle_manager, false otherwise.
global		is_battlesoundeffect	(value: any)	boolean	Returns true if the supplied value is a battle sound effect, false otherwise.
global		is_boolean	(value: any)	boolean	Returns true if the supplied value is a boolean, false otherwise.
global		is_building	(value: any)	boolean	Returns true if the supplied value is a building object in campaign or battle, false otherwise.
global		is_buildinglist	(value: any)	boolean	Returns true if the supplied value is a building list object, false otherwise.
global		is_buildings	(value: any)	boolean	Returns true if the supplied value is a buildings object, false otherwise.
global		is_campaignai	(value: any)	boolean	Returns true if the supplied value is a campaign ai interface, false otherwise.
global		is_campaigncutscene	(value: any)	boolean	Returns true if the supplied value is a campaign cutscene, false otherwise.
global		is_campaignmanager	(value: any)	boolean	Returns true if the supplied value is a campaign manager, false otherwise.
global		is_campaignmission	(value: any)	boolean	Returns true if the supplied value is a campaign mission interface, false otherwise.
global		is_campaignuimanager	(value: any)	boolean	Returns true if the supplied value is a campaign ui manager, false otherwise.
global		is_chaptermission	(value: any)	boolean	Returns true if the supplied value is a chapter mission, false otherwise.
global		is_character	(value: any)	boolean	Returns true if the supplied value is a campaign character interface, false otherwise.
global		is_characterlist	(value: any)	boolean	Returns true if the supplied value is a campaign character list interface, false otherwise.
global		is_component	(value: any)	boolean	Returns true if the supplied value is a component memory address, false otherwise.
global		is_condition	(value: any)	boolean	Returns true if the supplied value is a function or the boolean value true. Event conditions in the scripting library commonly adhere to this format, where an event is received and the condition must either be a function that returns a result, or be the boolea...
global		is_contextvisibilitymonitor	(value: any)	boolean	Returns true if the supplied value is a context visibility monitor, false otherwise.
global		is_convexarea	(value: any)	boolean	Returns true if the supplied value is a <a href="../campaign/convex_area.html#class:convex_area">convex_area, false otherwise.
global		is_core	(value: any)	boolean	Returns true if the supplied value is a core object, false otherwise.
global		is_custom_type	(object: table, custom_type: any)	boolean	Returns true if the supplied value is of the supplied custom type. This is not intended to be directly called by client scripts, who should instead call one of the is_ functions listed elsewhere.
global		is_customcontext	(value: any)	boolean	Returns true if the supplied value is a custom event context, false otherwise.
global		is_cutscene	(value: any)	boolean	Returns true if the supplied value is a battle cutscene, false otherwise.
global		is_empty_table	(value: any)	boolean	Returns true if the supplied value is an empty table, or false otherwise.
global		is_eventcontext	(value: any)	boolean	Returns true if the supplied value is an event context, false otherwise.
global		is_faction	(value: any)	boolean	Returns true if the supplied value is a campaign faction interface, false otherwise.
global		is_factionlist	(value: any)	boolean	Returns true if the supplied value is a campaign faction list interface, false otherwise.
global		is_factionstart	(value: any)	boolean	Returns true if the supplied value is a faction start object, false otherwise.
global		is_family_member	(value: any)	boolean	Returns true if the supplied value is a campaign family member interface, false otherwise.
global		is_foreignslot	(value: any)	boolean	Returns true if the supplied value is a foreign slot interface, false otherwise.
global		is_foreignslotmanager	(value: any)	boolean	Returns true if the supplied value is a foreign slot manager interface, false otherwise.
global		is_fully_onscreen	(uicomponent: UIC)	boolean	Returns true if the uicomponent is fully on-screen, false otherwise.
global		is_function	(value: any)	boolean	Returns true if the supplied value is a function, false otherwise.
global		is_garrisonresidence	(value: any)	boolean	Returns true if the supplied value is a campaign garrison residence interface, false otherwise.
global		is_generatedarmy	(value: any)	boolean	Returns true if the supplied value is a generated army, false otherwise.
global		is_generatedbattle	(value: any)	boolean	Returns true if the supplied value is a generated battle, false otherwise.
global		is_generatedcutscene	(value: any)	boolean	Returns true if the supplied value is a generated cutscene, false otherwise.
global		is_helppage	(value: any)	boolean	Returns true if the supplied value is a help page, false otherwise.
global		is_helppagemanager	(value: any)	boolean	Returns true if the supplied value is a help page manager, false otherwise.
global		is_infotextmanager	(value: any)	boolean	Returns true if the supplied value is an <a href="../campaign/infotext_manager.html#class:infotext_manager">infotext_manager, false otherwise.
global		is_integer	(value: any)	boolean	Returns true if the supplied value is a whole number with no decimal component, or false otherwise.
global		is_intervention	(value: any)	boolean	Returns true if the supplied value is an intervention, false otherwise.
global		is_interventionmanager	(value: any)	boolean	Returns true if the supplied value is an intervention manager, false otherwise.
global		is_introcampaigncameramarker	(value: any)	boolean	Returns true if the supplied value is an <a href="../campaign/intro_campaign_scripts.html#class:intro_campaign_camera_marker">intro_campaign_camera_marker, false otherwise.
